time_unit,group_type,group,feature,n,missing_pct,pearson_target,spearman_target,pearson_log_target,spearman_log_target,abs_spearman_log_target,feature_group
monthly,overall,all,DEM_first,311,0.0,-0.13221295332908717,-0.2833721306594942,-0.17667112908842658,-0.2833379049596084,0.2833379049596084,static
monthly,overall,all,surface_pressure_hpa_min,311,0.0,0.28533239267152294,0.27666107184134825,0.29127322109996756,0.27669882726982237,0.27669882726982237,weather
monthly,overall,all,potential_evaporation_mm_sum,311,0.0,-0.25084587125005275,-0.2525342429065946,-0.22158516971534906,-0.25253010436650625,0.25253010436650625,weather
monthly,overall,all,Red_SWIR2_median_week,195,0.37299035369774924,0.21998276883521645,0.24095913667373103,0.19484165726190186,0.24095913667373103,0.24095913667373103,spectral
monthly,overall,all,Red_SWIR1_median_week,195,0.37299035369774924,0.20014170494758593,0.23568472654504402,0.18344362090834393,0.23568472654504402,0.23568472654504402,spectral
monthly,overall,all,lon_first,311,0.0,0.015452044031107398,0.21883441649089289,0.04584481912955305,0.21881158735394873,0.21881158735394873,static
monthly,overall,all,month_sin,311,0.0,0.17476688981335797,0.1978460430378486,0.17806591368978,0.1978168537240471,0.1978168537240471,season
monthly,overall,all,temperature_2m_c_mean,311,0.0,0.1837807392355479,0.1776091396747586,0.18095029758088219,0.17757546431563687,0.17757546431563687,weather
monthly,overall,all,MNDWI_median_week,195,0.37299035369774924,0.24556234589086018,0.16890897879738376,0.17451042875370418,0.16890897879738376,0.16890897879738376,spectral
monthly,overall,all,NDCI_median_week,195,0.37299035369774924,-0.15395949626440544,-0.167963825218018,-0.1845307187325328,-0.167963825218018,0.167963825218018,spectral
monthly,overall,all,s2_available,311,0.0,0.09142388740475006,0.16630547936058973,0.17936673531443662,0.16634254337668936,0.16634254337668936,spectral
monthly,overall,all,NDVI_median_week,195,0.37299035369774924,-0.16371610308056225,-0.15306632744736332,-0.14067044609265475,-0.15306632744736332,0.15306632744736332,spectral
monthly,overall,all,B11_median_week,195,0.37299035369774924,-0.20613289213519242,-0.1257177676213165,-0.14252128995888075,-0.1257177676213165,0.1257177676213165,spectral
monthly,overall,all,B12_median_week,195,0.37299035369774924,-0.20618871861421362,-0.12522809536028806,-0.14645384457250665,-0.12522809536028806,0.12522809536028806,spectral
monthly,overall,all,NDWI_median_week,195,0.37299035369774924,0.12855162595900246,0.12240386218252639,0.08169834020068233,0.12240386218252639,0.12240386218252639,spectral
monthly,overall,all,BGRratio_median_week,195,0.37299035369774924,-0.049360347092272244,-0.11451085874662385,-0.10133125260627818,-0.11451085874662385,0.11451085874662385,spectral
monthly,overall,all,week_cos,311,0.0,0.0031830744874458035,-0.06126748070657404,-0.004696727278314011,-0.06124300125065495,0.06124300125065495,season
monthly,overall,all,doy_sin,311,0.0,0.12404753949415404,0.06007525836466228,0.1314878782408908,0.0600053535957798,0.0600053535957798,season
monthly,overall,all,doy_cos,311,0.0,0.021977169090169134,-0.042037538887331666,0.013521121778032446,-0.042018569868558606,0.042018569868558606,season
monthly,overall,all,Distance_to_River_first,311,0.0,-0.07491412015294442,-0.028303548940350556,-0.06916129199326293,-0.028278264634277926,0.028278264634277926,static
monthly,overall,all,week_sin,311,0.0,0.13035454423804213,0.022138773024034136,0.13435088828920433,0.022069147869428814,0.022069147869428814,season
monthly,overall,all,month_cos,311,0.0,-0.009756626344065976,-0.010317790215186508,-0.01646673922440948,-0.01028172176088395,0.01028172176088395,season
