system:index,B11_median_week,B12_median_week,BGRratio_median_week,DEM_first,Distance_to_River_first,MNDWI_median_week,NDCI_median_week,NDVI_median_week,NDWI_median_week,Red_SWIR1_median_week,Red_SWIR2_median_week,grid_id,lat_first,lon_first,period_end,period_start,potential_evaporation_mm_sum,precipitation_mm_sum,runoff_mm_max,runoff_mm_sum,s2_available,s2_obs_count,soil_moisture_layer1_vol_mean,solar_radiation_mj_m2_sum,surface_pressure_hpa_min,temperature_2m_c_mean,x,y,.geo
863,0.0421999990940094,0.026399999856948853,1.87545772491547,0,0.0,0.5245176802291796,0.08331576585660859,-0.22922987911279047,0.2432015099593805,2.4055103915698406,3.1703609205337115,g_131_225,10.15159499217963,106.39200116945122,2023-04-01,2023-03-01,584.5479965209961,2.8376185290781564,0.33049285411834717,7.778540253639221,1,5,0.14156727124285953,733.6684451289062,1008.4586393229167,26.608324694889916,130.5,224.5,"{""geodesic"":false,""type"":""Point"",""coordinates"":[106.39200116945122,10.15159499217963]}"
897,0.05950000137090683,0.05570000037550926,2.1653761196021657,0,0.0,0.38277810824711545,-0.017090392877477805,-0.4267481977024969,0.5121922218741253,1.9814792407868842,2.0134378284800576,g_126_226,10.197696841144063,106.16400380743885,2023-04-01,2023-03-01,406.33291751146317,3.0742936723200387,0.3876984119415283,9.147852659225464,1,3,0.11738153683241978,723.3868391289062,1008.1086393229167,26.76988278460766,125.5,225.5,"{""geodesic"":false,""type"":""Point"",""coordinates"":[106.16400380743885,10.197696841144063]}"
918,0.09905000030994415,0.08219999819993973,1.630530530655253,6,0.0,0.06885141933518016,0.173333976867305,-0.12926873481007362,0.09995711401485938,1.2018604966372188,1.449284628492662,g_97_227,10.244953917625002,104.84020098594648,2023-04-01,2023-03-01,250.0673457980156,13.23707932161966,0.3385096788406372,7.600471377372742,1,4,0.15574129166141637,707.3458151289062,1008.6561393229167,28.01948375907,96.5,226.5,"{""geodesic"":false,""type"":""Point"",""coordinates"":[104.84020098594648,10.244953917625002]}"
939,0.050200000405311584,0.05000000074505806,2.2017907022281396,0,500.0,0.4715764544898023,-7.524553561420053E-4,-0.3793508818008484,0.4739036690860596,2.2091193171920462,2.2179556356420784,g_124_227,10.24322367234552,106.07287259860247,2023-04-01,2023-03-01,307.4043020606041,2.641057311770112,0.45993924140930176,10.58584451675415,1,3,0.14014057446551584,719.7504431289062,1008.2265559895833,26.940912480508132,123.5,226.5,"{""geodesic"":false,""type"":""Point"",""coordinates"":[106.07287259860247,10.24322367234552]}"
942,0.050999999046325684,0.03999999910593033,2.0090210573023817,0,0.0,0.4031574020854417,0.06847310875598975,-0.36419205315459763,0.35556611857265713,2.397992221437728,3.057423539377565,g_127_227,10.242743135349107,106.20981512627667,2023-04-01,2023-03-01,406.33291751146317,3.0742936723200387,0.3876984119415283,9.147852659225464,1,3,0.11738153683241978,723.3868391289062,1008.1086393229167,26.76988278460766,126.5,226.5,"{""geodesic"":false,""type"":""Point"",""coordinates"":[106.20981512627667,10.242743135349107]}"
948,0.02540000155568123,0.02215000055730343,1.739133565327366,0,500.0,0.5916749852739107,0.10981525798571881,-0.1584805660727536,0.15000508240490906,5.109574056560609,6.320415238734401,g_133_227,10.241609217439827,106.48367784804067,2023-04-01,2023-03-01,584.7346484661102,2.1329575173822946,0.3307461738586426,7.81819224357605,1,4,0.14106578211630544,740.5629911289062,1008.8036393229168,26.49138133551486,132.5,226.5,"{""geodesic"":false,""type"":""Point"",""coordinates"":[106.48367784804067,10.241609217439827]}"
951,0.027499999850988388,0.024700000882148743,1.725693074404159,0,500.0,0.5778963822736314,0.13991312042274887,-0.3536043937629997,0.34032824970242154,4.062263000904752,4.723134862743253,g_136_227,10.24095586852432,106.62059641959459,2023-04-01,2023-03-01,337.8013148903847,1.459082304712922,0.3419071435928345,8.075043559074402,1,4,0.13806634308189475,747.1879971289062,1008.8611393229168,26.43550200923812,135.5,226.5,"{""geodesic"":false,""type"":""Point"",""coordinates"":[106.62059641959459,10.24095586852432]}"
952,0.02449999935925007,0.023000000044703484,1.8772426806656792,0,707.1067811865476,0.5943659439723669,0.0941314504567869,-0.41326320510364545,0.4255722969945485,3.652912326174566,3.891135279466098,g_137_227,10.24072529142414,106.66623384848657,2023-04-01,2023-03-01,,,,,1,3,,0.0,,,136.5,226.5,"{""geodesic"":false,""type"":""Point"",""coordinates"":[106.66623384848657,10.24072529142414]}"
977,0.08340000361204147,0.05050000175833702,1.9351446405354003,7,500.0,0.21060004018098635,0.05231214224314113,-0.08868839074816487,0.057180448872226126,1.3117347748811437,2.1662936713709167,g_109_228,10.289982737731716,105.38813589028054,2023-04-01,2023-03-01,288.46126049757004,2.6267372958628243,0.3092139959335327,7.107630372047424,1,3,0.12445101173975133,718.6791571289062,1008.0040559895833,27.642882406583396,108.5,227.5,"{""geodesic"":false,""type"":""Point"",""coordinates"":[105.38813589028054,10.289982737731716]}"
984,0.05609999969601631,0.04520000144839287,2.2681382132974615,1,707.1067811865476,0.44837539233262197,-0.044240822262714384,-0.27207986061814454,0.34520392247252,2.233471876744706,2.7720626773371326,g_118_228,10.289229549314518,105.79908275283776,2023-04-01,2023-03-01,282.58397430181503,1.728748618837983,0.4408508539199829,9.807050228118896,1,3,0.13842053567209553,714.7940491289063,1008.20322265625,27.41849617086433,117.5,227.5,"{""geodesic"":false,""type"":""Point"",""coordinates"":[105.79908275283776,10.289229549314518]}"
