year_month,station_id,observed_days,salinity_mean,salinity_median,salinity_std,salinity_min,salinity_max
2021-03,SON_DOC,14,14.47857142857143,14.5,1.1205620646172794,12.7,16.1
2021-03,TAN_AN,31,4.67741935483871,5.0,1.8077075127389672,1.6,7.4
2021-03,TRAN_DE,31,18.164516129032258,18.3,3.388268819234662,11.1,23.2
2021-03,TRA_KHA,31,14.451612903225806,14.8,2.9056119226698685,8.6,18.6
2021-03,TRA_VINH,31,5.541935483870968,6.0,1.8622162770112367,1.9,8.2
2021-03,TUYEN_NHON,31,0.1,0.1,0.0,0.1,0.1
2021-03,VAM_KENH,31,23.12258064516129,23.6,1.3834039365322404,20.1,24.6
2021-03,XEO_RO,31,18.238709677419354,19.3,3.5511197688761813,11.6,25.4
2021-03,XUAN_KHANH,31,0.1,0.1,0.0,0.1,0.1
2021-04,AN_THUAN,13,23.123076923076926,23.5,2.5859085592733315,17.7,26.4
2021-04,BEN_LUC,30,2.856666666666667,3.0,0.9023659832995101,1.8,4.8
2021-04,BEN_TRAI,13,13.169230769230769,13.4,1.7109376646469885,9.9,16.4
2021-04,BINH_DAI,12,23.175,23.55,2.183460556089806,19.0,25.5
2021-04,CAU_NOI,30,13.67,14.65,2.057811023125434,10.8,16.8
2021-04,CAU_QUAN,30,3.396666666666667,3.1,1.885787740520881,0.9,7.5
2021-04,DAI_NGAI,30,3.3066666666666666,3.2,1.811254724813967,0.3,7.1
2021-04,GO_QUAO,30,5.973333333333333,5.5,2.3655477361393547,2.1,10.9
2021-04,HOA_BINH,30,14.933333333333334,14.95,2.239047416499557,10.0,18.9
2021-04,HUNG_MY,30,8.816666666666666,8.6,2.3150308456027004,3.7,12.4
2021-04,HUONG_MY,13,5.723076923076923,5.9,1.91056442190689,2.6,8.6
2021-04,LOC_THUAN,13,11.753846153846155,11.8,1.3513051620657865,9.2,13.9
2021-04,MY_HOA,30,4.226666666666667,4.1,1.4443548454380004,2.2,6.3
2021-04,SON_DOC,13,12.169230769230769,11.8,2.2746371928231457,8.1,15.2
2021-04,TAN_AN,30,3.5133333333333336,4.0,1.382584619430239,1.7,5.7
2021-04,TRAN_DE,30,15.683333333333334,16.15,3.7444288117731364,7.6,22.4
2021-04,TRA_KHA,30,9.836666666666668,8.7,2.811979709218663,5.7,15.3
2021-04,TRA_VINH,30,4.253333333333333,4.1,2.0420971866050426,0.8,7.9
2021-04,TUYEN_NHON,30,0.1,0.1,0.0,0.1,0.1
2021-04,VAM_KENH,30,20.05666666666667,20.1,1.9864512341729235,16.5,23.1
2021-04,XEO_RO,30,14.026666666666667,13.8,3.7327010958907985,6.7,22.6
2021-04,XUAN_KHANH,30,0.1,0.1,0.0,0.1,0.1
2021-05,AN_THUAN,12,16.191666666666666,15.7,2.530346125562967,13.1,20.6
2021-05,BEN_LUC,31,1.1451612903225807,1.0,0.5012243075227028,0.4,1.9
2021-05,BEN_TRAI,12,10.333333333333334,9.85,2.653414038669063,6.4,14.8
2021-05,BINH_DAI,12,17.241666666666667,18.3,2.5482465748158294,13.1,19.9
2021-05,CAU_NOI,30,6.2733333333333325,6.1,3.457419142429332,0.8,11.9
